Central,Llave,Coordinado,Grupo reporte,Tipo,Subtipo,Fecha,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23,Hora 24,Hora 25,Total
PMGD PFV AROMO DEL VERANO SOLAR,PMGD PFV Aromo del Verano,MISCANTI DE VERANO SPA,PMGD PFV Aromo del Verano,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0766174747,0.7086671219,1.562297363,1.730766571,1.702380463,1.687597778,1.728150818,1.728962677,1.571134979,0.912653244,0.2505024425,0.0022229414,0,0,0,0,0,,13.66195387
PMGD PFV ASTILLAS,PMGD PFV ASTILLAS,GR CARZA SPA,PMGD PFV Astillas,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1906618662,0.8346017456,1.260943237,2.710764343,4.22641684,5.678365234,6.554168213,7.114622437,5.908991943,3.7563013,1.079220825,0.0331725342,0,0,0,0,0,,39.34823052
PMGD PFV AVEL SOLAR,PMGD PFV Avel Solar,TOESCA RENOVABLES SPA,PMGD PFV Avel Solar,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0422674513,0.4207203521,0.5662133332,1.141795807,2.77704245,6.160370728,6.205412354,6.36320105,6.531148193,5.203464172,1.468751633,0.0210124172,0,0,0,0,0,,36.90139994
PMGD PFV AVILES,Aviles,AVILÉS SPA,PMGD PFV Aviles,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0572316252,0.4417890549,1.135616562,1.683614319,1.492957886,2.171355499,4.569246826,5.225243774,1.593137207,1.209818771,0.3229163132,0.0047722497,0,0,0,0,0,,19.90770009
PMGD PFV BELLAVISTA,Bellavista,PARQUE SOLAR BELLAVISTA SPA,PMGD PFV Bellavista,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0349073752,0.2840595894,1.16945694,1.343879761,1.373722748,1.397404663,1.418262695,1.305218811,1.244440094,0.7747725982,0.1572589483,0.002307121,0,0,0,0,0,,10.50569134
PMGD PFV BELLAVISTA 1,Bellavista 1,TAMARUGAL SOLAR 1 S.A.,PMGD PFV Bellavista,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.0020728502,2.19443615,7.149075073,8.200940796,8.277477539,8.18346106,8.297419922,8.180322632,8.206683594,8.236975098,7.844675781,4.4914617,0.1598370629,0,0,0,0,0,,79.42483926
PMGD PFV BERGAMO,PMGD PFV Bérgamo,GPG GENERACIÓN DISTRIBUIDA SPA,PMGD PFV Bérgamo,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0323506856,0.1978337022,0.4265423889,0.7004253692,0.9664919739,1.145474884,1.219317017,1.119788361,0.8953791046,0.533890686,0.1479873323,0.0005008858,0,0,0,0,0,,7.38598239
PMGD PFV BERRUECO,PMGD PFV BERRUECO,CARBON FREE CHILE SPA,PMGD PFV Berrueco,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1727786207,2.210091339,6.030931763,6.378207886,6.090514526,5.876012451,5.852255371,6.076582764,6.196587647,5.100463318,1.367350708,0.0409816093,0,0,0,0,0,,51.392758
PMGD PFV BULNES LOS BARONES,PMGD PFV Bulnes Barones,MERCURIO SOLAR SPA,PMGD PFV Bulnes Barones,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0290054247,0.208082119,0.3126680603,1.448032318,1.883024567,1.820762299,1.782023163,1.794736267,1.76226239,1.193954315,0.3917658958,0.0095884126,0,0,0,0,0,,12.63590523
PMGD PFV CABILDO SUNLIGHT,PMGD PFV Cabildo Sunlight,CABILDO SUNLIGHT SPA,PMGD PFV Cabildo Sunlight,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1384574503,4.196458862,6.682690796,6.687182373,6.550713501,6.584659912,6.642646607,6.778621826,6.74225415,5.556384888,0.3975035744,0.0182106774,0,0,0,0,0,,56.97578462
PMGD PFV CABILSOL,Cabilsol,IEH SOLAR CHILE SPA,PMGD PFV Cabilsol,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0477210298,0.7855975799,1.20836248,0,0,0,0,0,0,0.8255960084,0.1850977126,0.0010014906,0,0,0,0,0,,3.053376302
PMGD PFV CABRERO SOLAR [EN_REVISION],PMGD PFV Cabrero,CABRERO SOLAR SPA [EN_REVISION],PMGD PFV Cabrero,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PMGD PFV CACHIYUYO SOLAR II,CACHIYUYO SOLAR 2,CARBON FREE CHILE SPA,PMGD PFV Cachiyuyo II,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.5573281188,4.531260986,6.889021606,6.227831787,5.017585327,6.391093994,6.73713501,6.808148315,6.877870361,5.081097717,2.327526482,0.0200423364,0,0,0,0,0,,57.46594204
PMGD PFV CAIMI,Caimi,FARO CORONA SPA,PMGD PFV Caimi,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PMGD PFV CALAMA SOLAR,Solar Calama 1,CALAMA SOLAR 1 SPA,PMGD PFV Calama,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.0032616303,2.508119682,7.809540039,8.226990723,7.76183313,7.664174072,7.779629883,7.790228027,7.93530896,8.048530762,7.731196533,4.178338074,0.0710201961,0,0,0,0,0,,77.50817171
PMGD PFV CALLE LARGA,CALLE LARGA,PMGD CALLE LARGA SPA,PMGD PFV Calle Larga,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.10073777,1.078370834,2.010866516,2.007767456,1.90157898,1.847669983,1.855880615,1.923341217,1.94494696,1.321607575,0.3751706428,0.004260879,0,0,0,0,0,,16.37219943
PMGD PFV CANDELARIA SOLAR,Candelaria Solar,CANDELARIA SOLAR SPA,PMGD PFV Candelaria Solar,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0382023702,1.219065689,1.845589935,1.919597778,1.91311615,1.848255341,1.854080536,1.895258545,1.818176514,1.277862534,0.2784898328,0.0013383291,0,0,0,0,0,,15.90903355
PMGD PFV CANELILLO,PFV CANELILLO,AGROSOLAR V SPA,PMGD PFV Canelillo,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0983558882,0.6025700684,1.139026627,1.571790894,1.88422464,2.046583405,2.015146301,1.648081635,1.308700592,0.8036591415,0.1861628781,0.0040146418,0,0,0,0,0,,13.30831671
PMGD PFV CANESA SOLAR,Canesa Solar I,ÁNGELA SOLAR SPA,PMGD PFV Canesa,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0658022103,1.197587372,2.307352417,2.414676819,2.423903748,2.431322021,2.421844849,2.059288574,2.169153442,1.531296112,0.3186795825,0.0047607551,0,0,0,0,0,,19.3456679
PMGD PFV CANTERA,PMGD PFV Cantera,GPG GENERACIÓN DISTRIBUIDA SPA,PMGD PFV Cantera,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0129312775,0.1349330979,0.3237904357,0.3249110946,0.3824630584,0.5570725478,1.225154266,0.6093073883,0.5339293748,0.3831201934,0.0881401458,0,0,0,0,0,0,,4.575752881
